Player,PTS2,BLK2,STL2,AST2,TRB2,Value,Year
Nikola Vucevic,20.8,1.1,1.0,3.8,12.0,47.2,2019
Noah Vonleh,8.4,0.8,0.7,1.9,7.8,25.11,2019
Norman Powell,8.6,0.2,0.7,1.5,2.3,16.31,2019
OG Anunoby,7.0,0.3,0.7,0.7,2.9,14.53,2019
Okaro White,0.0,0.0,0.0,0.0,0.7,0.84,2019
Omari Spellman,5.9,0.5,0.6,1.0,4.2,15.74,2019
Omri Casspi,6.3,0.3,0.6,0.7,3.2,13.89,2019
Otto Porter,13.9,0.6,1.5,2.1,5.6,30.07,2019
P.J. Tucker,7.3,0.5,1.6,1.2,5.8,22.36,2019
PJ Dozier,3.2,0.0,0.3,0.8,2.8,8.66,2019
Pascal Siakam,16.9,0.7,0.9,3.1,6.9,34.63,2019
Pat Connaughton,6.9,0.4,0.5,2.0,4.2,17.64,2019
Patrick Beverley,7.6,0.6,0.9,3.8,5.0,23.8,2019
Patrick McCaw,2.6,0.1,0.8,1.0,1.7,8.84,2019
Patrick Patterson,3.6,0.2,0.3,0.5,2.3,8.61,2019
Patty Mills,9.9,0.1,0.6,3.0,2.2,19.14,2019
Pau Gasol,3.9,0.5,0.2,1.7,4.6,14.07,2019
Paul George,28.0,0.4,2.2,4.1,8.2,51.79,2019
Paul Millsap,12.6,0.8,1.2,2.0,7.2,30.24,2019
Quincy Acy,1.7,0.4,0.1,0.8,2.5,7.4,2019
Quincy Pondexter,1.8,0.0,0.2,0.5,0.9,4.23,2019
Quinn Cook,6.9,0.0,0.3,1.6,2.1,12.72,2019
R.J. Hunter,17.0,0.0,1.0,3.0,3.0,28.1,2019
Rajon Rondo,9.2,0.2,1.2,8.0,5.3,31.76,2019
Raul Neto,5.3,0.1,0.4,2.5,1.7,12.59,2019
Rawle Alkins,3.7,0.0,0.1,1.3,2.6,9.07,2019
Ray Spalding,3.9,0.6,0.6,0.4,3.4,12.18,2019
Raymond Felton,4.3,0.2,0.3,1.6,1.0,9.4,2019
Reggie Bullock,11.3,0.2,0.6,2.0,2.7,19.94,2019
Reggie Jackson,15.4,0.1,0.7,4.2,2.6,27.22,2019
Richaun Holmes,8.2,1.1,0.6,0.9,4.7,20.29,2019
Ricky Rubio,12.7,0.1,1.3,6.1,3.6,30.37,2019
Robert Covington,13.3,1.3,2.1,1.3,5.5,32.05,2019
Robert Williams,2.5,1.3,0.3,0.2,2.5,10.6,2019
Robin Lopez,9.5,1.1,0.1,1.2,3.9,19.58,2019
Rodions Kurucs,8.5,0.4,0.7,0.8,3.9,17.68,2019
Rodney Hood,11.2,0.2,0.8,1.8,2.2,19.54,2019
Rodney McGruder,7.6,0.2,0.5,1.7,3.6,16.57,2019
Ron Baker,0.9,0.1,0.4,1.0,0.7,4.74,2019
Rondae Hollis-Jefferson,8.9,0.5,0.7,1.6,5.3,21.26,2019
Royce O'Neale,5.2,0.3,0.7,1.5,3.5,14.65,2019
Rudy Gay,13.7,0.5,0.8,2.6,6.8,29.66,2019
Rudy Gobert,15.9,2.3,0.8,2.0,12.9,43.68,2019
Russell Westbrook,22.9,0.5,1.9,10.7,11.1,59.47,2019
Ryan Anderson,2.5,0.0,0.2,0.8,2.2,6.94,2019
Ryan Arcidiacono,6.7,0.0,0.8,3.3,2.7,17.29,2019
Ryan Broekhoff,4.0,0.1,0.1,0.5,1.5,7.15,2019
Salah Mejri,3.9,0.7,0.3,1.0,3.6,12.72,2019
Sam Dekker,6.1,0.1,0.8,1.0,3.1,14.02,2019
Scott Machado,2.5,0.0,0.3,0.8,0.0,4.6,2019
Semi Ojeleye,3.3,0.1,0.2,0.4,1.5,6.6,2019
Serge Ibaka,15.0,1.4,0.4,1.3,8.1,32.07,2019
Seth Curry,7.9,0.2,0.5,0.9,1.6,13.27,2019
Shabazz Napier,9.4,0.3,0.7,2.6,1.8,18.46,2019
Shai Gilgeous-Alexander,10.8,0.5,1.2,3.3,2.8,24.21,2019
Shake Milton,4.4,0.4,0.4,0.9,1.8,10.31,2019
Shaquille Harrison,6.5,0.4,1.2,1.9,3.0,17.75,2019
Shaun Livingston,4.0,0.4,0.5,1.8,1.8,11.56,2019
Shelvin Mack,7.5,0.1,0.8,3.2,1.8,17.16,2019
Sindarius Thornwell,1.0,0.1,0.2,0.3,0.7,3.19,2019
Skal Labissiere,3.0,0.3,0.2,0.5,2.0,7.65,2019
Solomon Hill,4.3,0.2,0.5,1.3,3.0,11.95,2019
Spencer Dinwiddie,16.8,0.3,0.6,4.6,2.4,29.28,2019
Stanley Johnson,6.9,0.2,0.9,1.3,3.3,16.11,2019
Stephen Curry,27.3,0.4,1.3,5.2,5.3,46.56,2019
Sterling Brown,6.4,0.1,0.4,1.4,3.2,13.84,2019
Steven Adams,13.9,1.0,1.5,1.6,9.5,35.2,2019
Sviatoslav Mykhailiuk,3.2,0.0,0.3,0.9,0.9,6.53,2019
T.J. Leaf,3.9,0.3,0.2,0.4,2.2,8.64,2019
T.J. McConnell,6.4,0.2,1.0,3.4,2.3,17.86,2019
T.J. Warren,18.0,0.7,1.2,1.5,4.0,30.75,2019
Tahjere McCall,4.0,0.0,0.0,0.0,1.0,5.2,2019
Taj Gibson,10.8,0.6,0.8,1.2,6.5,24.6,2019
Taurean Waller-Prince,13.5,0.3,1.0,2.1,3.6,24.87,2019
Terrance Ferguson,6.9,0.2,0.5,1.0,1.9,12.78,2019
Terrence Jones,1.0,0.0,0.0,0.0,2.0,3.4,2019
Terrence Ross,15.1,0.4,0.9,1.7,3.5,25.75,2019
Terry Rozier,9.0,0.3,0.9,2.9,3.9,21.63,2019
Thabo Sefolosha,3.8,0.1,0.9,0.5,2.5,10.55,2019
Thaddeus Young,12.6,0.4,1.5,2.5,6.5,29.85,2019
Theo Pinson,4.5,0.0,0.3,1.2,2.0,9.6,2019
Thomas Bryant,10.5,0.9,0.3,1.3,6.3,23.61,2019
Thomas Welsh,1.6,0.0,0.0,0.5,0.4,2.83,2019
Thon Maker,5.0,0.8,0.3,0.7,3.2,13.19,2019
Tim Frazier,5.3,0.1,0.5,4.2,2.8,16.76,2019
Tim Hardaway,18.1,0.1,0.8,2.4,3.4,28.48,2019
Timothe Luwawu-Cabarrot,4.6,0.2,0.4,0.5,1.9,9.43,2019
Tobias Harris,20.0,0.5,0.6,2.8,7.9,36.98,2019
Tomas Satoransky,8.9,0.2,1.0,5.0,3.5,24.2,2019
Tony Bradley,5.7,0.7,0.7,0.3,5.0,16.35,2019
Tony Parker,9.5,0.1,0.4,3.7,1.5,18.35,2019
Tony Snell,6.0,0.2,0.4,0.9,2.1,11.67,2019
Torrey Craig,5.7,0.6,0.5,1.0,3.5,14.7,2019
Trae Young,19.1,0.2,0.9,8.1,3.7,38.99,2019
Treveon Graham,5.3,0.2,0.4,1.0,3.1,12.32,2019
Trevon Duval,1.7,0.0,0.0,0.7,0.3,3.11,2019
Trevor Ariza,12.5,0.3,1.3,3.7,5.4,29.33,2019
Trey Burke,10.9,0.1,0.6,2.7,1.7,19.09,2019
Trey Lyles,8.5,0.4,0.5,1.4,3.8,17.86,2019
Tristan Thompson,10.9,0.4,0.7,2.0,10.2,29.44,2019
Troy Brown,4.8,0.1,0.4,1.5,2.8,11.91,2019
Troy Caupain,2.5,0.0,0.3,1.0,0.8,5.86,2019
Troy Daniels,6.2,0.1,0.5,0.5,1.4,10.43,2019
Troy Williams,5.3,0.4,0.5,0.5,2.8,12.11,2019
Tyler Cavanaugh,0.8,0.0,0.0,0.1,0.7,1.79,2019
Tyler Davis,0.0,0.0,0.0,0.0,1.0,1.2,2019
Tyler Dorsey,6.2,0.0,0.3,1.2,2.4,11.78,2019
Tyler Johnson,10.9,0.5,0.9,2.9,3.0,23.05,2019
Tyler Lydon,0.9,0.0,0.1,0.2,0.7,2.34,2019
Tyler Ulis,0.0,0.0,0.0,0.0,0.0,0.0,2019
Tyler Zeller,7.7,0.5,0.2,0.7,4.0,15.65,2019
Tyreke Evans,10.2,0.3,0.8,2.4,2.9,20.58,2019
Tyrone Wallace,3.5,0.1,0.3,0.7,1.6,7.67,2019
Tyson Chandler,3.1,0.4,0.4,0.7,5.6,13.27,2019
Tyus Jones,6.9,0.1,1.2,4.8,2.0,20.4,2019
Udonis Haslem,2.5,0.0,0.0,0.2,2.7,6.04,2019
Victor Oladipo,18.8,0.3,1.7,5.2,5.6,39.32,2019
Vince Carter,7.4,0.4,0.6,1.1,2.6,15.17,2019
Vince Edwards,1.5,0.0,0.0,0.0,1.0,2.7,2019
Wade Baldwin,1.9,0.1,0.1,0.8,0.9,4.78,2019
Walt Lemon,14.3,0.2,1.8,5.0,4.5,33.2,2019
Wayne Ellington,10.3,0.1,1.0,1.4,2.0,18.1,2019
Wayne Selden,6.9,0.2,0.4,1.5,2.4,13.83,2019
Wendell Carter,10.3,1.3,0.6,1.8,7.0,27.1,2019
Wesley Iwundu,5.0,0.3,0.4,1.1,2.7,11.99,2019
Wesley Johnson,3.4,0.3,0.4,0.6,1.9,8.68,2019
Wesley Matthews,12.2,0.2,0.8,2.3,2.5,21.65,2019
Will Barton,11.5,0.5,0.4,2.9,4.6,24.07,2019
Willie Cauley-Stein,11.9,0.6,1.2,2.4,8.4,30.98,2019
Willy Hernangomez,7.3,0.3,0.3,1.0,5.4,17.08,2019
Wilson Chandler,6.0,0.4,0.5,1.6,4.2,16.14,2019
Yante Maten,1.0,0.0,0.5,0.0,1.5,4.3,2019
Yogi Ferrell,5.9,0.1,0.5,1.9,1.5,12.35,2019
Yuta Watanabe,2.6,0.1,0.3,0.5,2.1,7.07,2019
Zach Collins,6.6,0.9,0.3,0.9,4.2,16.59,2019
Zach LaVine,23.7,0.4,1.0,4.5,4.7,40.29,2019
Zach Lofton,0.0,0.0,1.0,0.0,0.0,3.0,2019
Zaza Pachulia,3.9,0.3,0.5,1.3,3.9,12.93,2019
Zhaire Smith,6.7,0.3,0.3,1.7,2.2,13.69,2019
Zhou Qi,2.0,0.0,0.0,0.0,0.0,2.0,2019
Alex Abrines,6.0,0.2,0.5,0.9,2.0,11.81,2020
Quincy Acy,2.3,0.4,0.2,0.8,2.5,8.17,2020
Jaylen Adams,4.8,0.2,0.5,2.0,2.2,12.56,2020
Steven Adams,13.6,0.9,1.3,1.7,8.9,33.58,2020
Bam Adebayo,10.0,0.8,0.9,2.2,7.1,26.92,2020
Deng Adel,3.9,0.3,0.3,0.7,2.1,9.19,2020
DeVaughn Akoon-Purcell,2.7,0.1,0.4,1.2,1.2,7.3,2020
LaMarcus Aldridge,17.8,1.1,0.5,2.4,8.1,36.07,2020
Rawle Alkins,5.2,0.2,0.3,1.4,2.9,12.25,2020
Grayson Allen,6.6,0.2,0.3,1.0,1.5,11.72,2020
Jarrett Allen,11.9,1.5,0.5,1.4,8.5,30.26,2020
Kadeem Allen,9.6,0.2,0.8,3.7,2.5,21.0,2020
Al-Farouq Aminu,8.4,0.4,0.7,1.3,6.4,21.22,2020
Justin Anderson,4.6,0.3,0.5,0.8,2.2,10.8,2020
Kyle Anderson,8.3,0.7,1.1,2.8,5.4,24.52,2020
Ryan Anderson,2.8,0.1,0.3,0.9,2.0,7.57,2020
Ike Anigbogu,2.7,0.4,0.2,0.7,2.2,8.33,2020
Giannis Antetokounmpo,29.2,1.5,1.4,6.2,12.6,62.28,2020
Kostas Antetokounmpo,4.0,0.1,0.8,0.8,1.6,9.78,2020
Carmelo Anthony,10.4,0.6,0.4,0.6,4.6,19.79,2020
OG Anunoby,8.4,0.4,0.7,1.1,3.4,17.14,2020
Ryan Arcidiacono,7.3,0.1,0.8,3.3,2.5,17.74,2020
Trevor Ariza,10.6,0.3,1.1,3.2,4.5,24.92,2020
D.J. Augustin,10.1,0.0,0.6,4.5,2.1,21.47,2020
Deandre Ayton,17.5,1.0,0.9,2.1,10.1,38.49,2020
Dwayne Bacon,7.9,0.2,0.4,1.3,2.4,14.52,2020
Marvin Bagley,15.8,1.1,0.6,1.2,7.8,31.88,2020
Ron Baker,2.6,0.1,0.4,1.3,1.3,7.8,2020
Wade Baldwin,3.8,0.2,0.3,1.1,1.7,9.04,2020
Lonzo Ball,11.5,0.4,1.4,5.4,5.1,31.06,2020
Mohamed Bamba,7.4,1.3,0.4,0.8,5.5,20.34,2020
J.J. Barea,9.2,0.1,0.6,4.6,2.1,20.73,2020
Harrison Barnes,14.7,0.2,0.6,1.6,4.3,24.78,2020
Will Barton,10.1,0.4,0.5,2.5,4.0,21.48,2020
Keita Bates-Diop,6.0,0.5,0.5,0.9,3.2,14.3,2020
Nicolas Batum,8.3,0.5,0.8,2.8,4.4,21.64,2020
Jerryd Bayless,5.7,0.1,0.5,3.1,1.6,14.07,2020
Aron Baynes,4.6,0.6,0.3,0.9,3.9,13.19,2020
Kent Bazemore,10.3,0.5,1.0,2.2,3.6,22.42,2020
Bradley Beal,24.6,0.6,1.4,5.5,5.2,45.04,2020
Malik Beasley,11.8,0.2,0.7,1.5,2.8,20.06,2020
Michael Beasley,6.2,0.3,0.3,1.0,2.3,12.45,2020
Marco Belinelli,8.7,0.1,0.4,1.6,2.3,15.52,2020
Jordan Bell,4.2,0.7,0.4,1.1,3.1,12.66,2020
DeAndre' Bembry,8.9,0.4,1.1,2.5,4.2,22.37,2020
Dragan Bender,6.3,0.5,0.5,1.3,4.3,16.45,2020
Dairis Bertans,3.4,0.1,0.2,1.0,1.1,7.07,2020
Davis Bertans,7.7,0.4,0.5,1.3,3.4,16.31,2020
Patrick Beverley,6.9,0.5,0.8,3.2,4.2,20.54,2020
Khem Birch,5.0,0.5,0.4,0.8,3.7,13.43,2020
Bismack Biyombo,4.4,0.7,0.3,0.6,4.4,13.43,2020
Nemanja Bjelica,8.3,0.6,0.6,1.7,5.0,20.34,2020
Antonio Blakeney,8.1,0.3,0.4,1.0,2.5,14.39,2020
Eric Bledsoe,14.5,0.3,1.3,5.0,4.2,32.07,2020
Jaron Blossomgame,4.7,0.3,0.3,0.6,3.6,11.92,2020
Bogdan Bogdanovic,13.2,0.2,0.9,3.7,3.2,25.95,2020
Bojan Bogdanovic,15.5,0.1,0.8,2.0,3.7,25.56,2020
Andrew Bogut,2.9,0.5,0.3,0.9,4.0,11.51,2020
Jonah Bolden,5.5,0.8,0.4,0.9,4.1,15.49,2020
Isaac Bonga,3.9,0.3,0.5,1.2,2.3,10.97,2020
Devin Booker,26.1,0.2,1.0,6.7,4.1,44.6,2020
Chris Boucher,3.8,0.7,0.2,0.3,2.6,10.23,2020
Avery Bradley,9.0,0.3,0.6,2.3,2.6,18.28,2020
Tony Bradley,7.0,0.7,0.6,0.6,5.3,18.26,2020
Corey Brewer,4.5,0.2,0.7,1.3,2.2,11.71,2020
Mikal Bridges,9.5,0.4,1.3,2.4,3.5,22.59,2020
Miles Bridges,9.0,0.6,0.7,1.5,4.4,20.46,2020
Isaiah Briscoe,5.0,0.2,0.4,2.2,2.2,12.88,2020
Ryan Broekhoff,4.2,0.2,0.2,0.7,1.8,8.49,2020
Malcolm Brogdon,14.3,0.2,0.7,3.0,4.1,26.52,2020
Dillon Brooks,8.3,0.2,0.6,1.3,2.2,15.29,2020
MarShon Brooks,6.0,0.1,0.3,1.0,1.7,10.98,2020
Bruce Brown,5.7,0.5,0.5,1.4,3.0,14.41,2020
Jaylen Brown,13.3,0.4,0.8,1.7,4.3,24.7,2020
Lorenzo Brown,3.0,0.2,0.4,1.2,1.5,8.5,2020
Sterling Brown,7.1,0.2,0.5,1.5,3.2,15.19,2020
Troy Brown,7.0,0.2,0.5,1.8,3.3,15.89,2020
Jalen Brunson,9.9,0.1,0.6,3.2,2.4,19.85,2020
Thomas Bryant,10.9,0.9,0.4,1.3,6.3,24.29,2020
Reggie Bullock,10.3,0.2,0.6,2.0,2.6,18.78,2020
Trey Burke,10.3,0.1,0.6,2.7,1.8,18.66,2020
Alec Burks,8.2,0.3,0.6,1.9,3.4,17.67,2020
Deonte Burton,3.8,0.3,0.3,0.6,1.7,8.49,2020
Jimmy Butler,16.9,0.5,1.6,3.8,5.0,34.94,2020
Bruno Caboclo,8.5,0.9,0.5,1.4,4.7,20.25,2020
Jose Calderon,2.7,0.1,0.4,2.0,1.1,8.38,2020
Kentavious Caldwell-Pope,11.0,0.2,0.8,1.5,3.0,19.83,2020
Isaiah Canaan,6.1,0.1,0.5,2.6,1.8,14.11,2020
Clint Capela,16.4,1.5,0.7,1.8,12.1,40.16,2020
DeMarre Carroll,9.0,0.2,0.5,1.2,4.2,17.88,2020
Jevon Carter,5.7,0.3,0.7,2.0,2.1,14.16,2020
Vince Carter,6.3,0.3,0.5,1.2,2.3,13.28,2020
Wendell Carter,11.8,1.3,0.7,1.8,7.3,29.05,2020
Michael Carter-Williams,5.1,0.4,0.6,2.3,2.4,14.51,2020
Alex Caruso,9.5,0.3,0.9,3.1,2.8,21.23,2020
Omri Casspi,5.7,0.3,0.5,0.8,2.9,12.6,2020
Willie Cauley-Stein,11.7,0.6,1.1,2.4,7.6,29.38,2020
Troy Caupain,4.2,0.1,0.4,1.3,1.5,9.52,2020
Tyler Cavanaugh,2.6,0.1,0.2,0.5,1.5,6.11,2020
Tyson Chandler,2.5,0.4,0.3,0.7,4.2,10.71,2020
Wilson Chandler,5.2,0.3,0.5,1.4,3.5,13.97,2020
Joe Chealey,3.8,0.1,0.2,1.3,0.9,7.91,2020
Chris Chiozza,2.9,0.2,0.3,0.9,1.5,7.47,2020
Marquese Chriss,5.8,0.4,0.5,0.8,3.7,13.96,2020
Gary Clark,4.0,0.5,0.4,0.6,2.8,10.98,2020
Ian Clark,6.6,0.1,0.4,1.7,1.7,12.83,2020
Jordan Clarkson,15.2,0.2,0.7,2.4,3.2,25.36,2020
John Collins,19.4,0.7,0.5,2.1,9.3,37.48,2020
Zach Collins,7.6,0.9,0.4,1.0,4.6,18.3,2020
Darren Collison,10.0,0.1,1.2,5.3,2.7,25.03,2020
Bonzie Colson,5.9,0.2,0.5,0.7,3.8,13.74,2020
Mike Conley,18.4,0.3,1.1,5.8,3.5,35.55,2020
Pat Connaughton,6.8,0.4,0.5,1.8,3.8,16.78,2020
Quinn Cook,7.1,0.1,0.4,1.7,2.2,13.63,2020
DeMarcus Cousins,15.2,1.2,1.2,3.3,7.6,36.51,2020
Robert Covington,11.9,1.0,1.6,1.3,5.2,27.87,2020
Allen Crabbe,9.0,0.3,0.5,1.2,3.3,17.13,2020
Torrey Craig,5.4,0.5,0.4,1.0,3.3,13.69,2020
Jamal Crawford,6.8,0.2,0.5,3.0,1.4,14.91,2020
Mitch Creek,4.7,0.1,0.4,1.3,2.4,11.06,2020
Jae Crowder,10.6,0.4,0.7,1.7,4.3,21.4,2020
Dante Cunningham,3.0,0.2,0.4,0.8,2.5,8.99,2020
Seth Curry,7.4,0.2,0.5,1.1,1.8,13.22,2020
Stephen Curry,24.1,0.4,1.2,5.0,5.3,42.75,2020
Troy Daniels,6.3,0.1,0.5,0.8,1.8,11.39,2020
Anthony Davis,26.7,2.2,1.6,4.3,12.1,58.88,2020
Deyonta Davis,5.1,0.6,0.4,0.7,4.3,14.31,2020
Ed Davis,4.9,0.4,0.4,0.8,7.1,16.99,2020
Tyler Davis,2.6,0.2,0.2,0.5,2.1,6.89,2020
Dewayne Dedmon,9.5,0.9,0.9,1.3,6.6,24.86,2020
Sam Dekker,6.8,0.2,0.7,1.2,3.1,14.99,2020
Angel Delgado,3.1,0.1,0.4,0.4,2.4,8.36,2020
Matthew Dellavedova,5.8,0.0,0.4,3.3,1.4,13.83,2020
Luol Deng,5.9,0.3,0.5,0.8,2.9,13.21,2020
DeMar DeRozan,19.3,0.5,1.0,5.6,5.6,38.99,2020
Marcus Derrickson,5.6,0.2,0.2,0.5,2.1,10.07,2020
Cheick Diallo,6.9,0.5,0.5,0.7,5.2,17.25,2020
Hamidou Diallo,5.9,0.3,0.5,0.8,2.8,12.73,2020
Gorgui Dieng,5.8,0.4,0.5,0.9,3.7,14.33,2020
Spencer Dinwiddie,15.6,0.2,0.7,4.3,2.4,27.62,2020
Donte DiVincenzo,6.3,0.3,0.5,1.4,2.8,14.06,2020
Luka Doncic,23.0,0.4,1.2,6.2,7.5,46.27,2020
Tyler Dorsey,7.2,0.1,0.4,1.4,2.7,14.18,2020
Damyean Dotson,10.7,0.2,0.7,1.9,3.5,20.41,2020
PJ Dozier,4.7,0.1,0.4,1.0,3.1,11.54,2020
Goran Dragic,11.6,0.1,0.7,4.2,2.7,23.78,2020
Andre Drummond,18.0,1.7,1.6,2.1,15.2,49.29,2020
Jared Dudley,4.4,0.2,0.5,1.3,2.3,11.26,2020
Kris Dunn,11.8,0.4,1.4,5.7,3.9,30.28,2020
Kevin Durant,23.1,0.9,0.7,5.2,6.3,43.23,2020
Trevon Duval,4.2,0.2,0.3,1.1,1.5,9.0,2020
Vince Edwards,3.5,0.2,0.2,0.4,1.9,7.56,2020
Henry Ellenson,7.0,0.2,0.5,1.0,3.6,14.9,2020
Wayne Ellington,8.9,0.1,0.8,1.5,2.0,16.1,2020
Joel Embiid,28.0,1.9,0.8,4.2,13.5,58.48,2020
James Ennis,6.3,0.3,0.6,0.8,3.0,13.9,2020
Drew Eubanks,3.9,0.3,0.3,0.7,2.4,9.55,2020
Jacob Evans,3.7,0.2,0.4,1.2,1.8,9.29,2020
Jawun Evans,3.0,0.1,0.5,1.6,2.0,9.57,2020
Tyreke Evans,9.1,0.2,0.7,2.3,2.7,18.56,2020
Dante Exum,7.6,0.1,0.5,2.6,1.8,15.44,2020
Kenneth Faried,8.8,0.6,0.5,0.6,5.9,19.71,2020
Derrick Favors,10.6,1.2,0.6,1.2,6.8,25.92,2020
Cristiano Felicio,4.3,0.2,0.3,0.7,3.4,10.75,2020
Raymond Felton,4.1,0.2,0.3,1.5,1.1,9.21,2020
Terrance Ferguson,8.6,0.3,0.6,1.4,2.6,16.43,2020
Yogi Ferrell,6.4,0.1,0.5,2.0,1.8,13.51,2020
Dorian Finney-Smith,7.6,0.4,0.8,1.3,4.5,18.35,2020
Bryn Forbes,11.1,0.1,0.6,2.1,2.8,19.53,2020
Evan Fournier,14.0,0.1,0.9,3.5,3.0,25.75,2020
De'Aaron Fox,18.5,0.5,1.5,7.3,4.0,40.33,2020
Melvin Frazier,3.7,0.1,0.3,0.6,1.6,7.67,2020
Tim Frazier,5.3,0.1,0.6,3.6,2.3,15.45,2020
Jimmer Fredette,4.1,0.0,0.5,1.4,1.3,9.34,2020
Channing Frye,3.5,0.1,0.2,0.8,1.4,7.46,2020
Markelle Fultz,9.8,0.3,0.9,3.3,3.8,23.03,2020
Danilo Gallinari,16.8,0.3,0.7,2.5,5.3,30.0,2020
Langston Galloway,7.9,0.1,0.5,1.2,2.2,14.32,2020
Billy Garrett,7.1,0.3,0.4,1.9,1.4,13.7,2020
Marc Gasol,11.8,0.8,1.0,3.7,6.8,31.03,2020
Pau Gasol,3.4,0.4,0.3,1.4,3.4,11.76,2020
Rudy Gay,11.4,0.5,0.7,2.3,5.7,25.36,2020
Paul George,26.3,0.6,1.9,4.2,7.9,49.68,2020
Taj Gibson,8.7,0.5,0.6,1.1,5.4,20.37,2020
Harry Giles,8.5,0.5,0.6,1.7,4.1,19.04,2020
Shai Gilgeous-Alexander,12.3,0.4,1.1,3.6,3.2,26.33,2020
Rudy Gobert,15.6,2.1,0.8,2.3,12.1,42.25,2020
Brandon Goodwin,3.3,0.1,0.2,1.2,1.1,7.46,2020
Aaron Gordon,15.9,0.7,0.8,3.5,6.9,33.75,2020
Eric Gordon,13.6,0.3,0.6,1.9,2.4,21.9,2020
Marcin Gortat,4.0,0.4,0.2,1.2,4.3,12.92,2020
Devonte' Graham,5.9,0.1,0.6,2.7,1.7,13.86,2020
Treveon Graham,5.7,0.2,0.4,1.1,3.1,13.07,2020
Jerami Grant,12.9,1.1,0.7,1.1,5.3,26.43,2020
Jerian Grant,4.9,0.1,0.7,2.6,1.7,13.04,2020
Donte Grantham,2.3,0.1,0.2,0.5,1.2,5.53,2020
Danny Green,8.7,0.5,0.7,1.5,3.6,19.02,2020
Draymond Green,7.8,0.8,1.3,5.8,6.5,30.52,2020
Gerald Green,7.5,0.3,0.4,0.7,2.4,13.64,2020
JaMychal Green,8.3,0.5,0.6,0.8,5.5,19.34,2020
Jeff Green,10.1,0.4,0.5,1.7,3.5,19.69,2020
Blake Griffin,21.9,0.5,0.7,5.0,6.8,41.18,2020
Daniel Hamilton,4.3,0.2,0.4,1.3,2.7,11.36,2020
Dusty Hannahs,5.0,0.0,0.5,2.6,0.9,11.74,2020
Tim Hardaway,16.4,0.1,0.8,2.5,3.3,26.7,2020
James Harden,34.2,0.8,1.8,7.6,7.4,62.22,2020
Maurice Harkless,7.8,0.7,0.9,1.3,4.4,19.94,2020
Montrezl Harrell,15.6,1.1,0.8,2.0,6.3,31.93,2020
Devin Harris,5.5,0.2,0.5,1.7,1.5,11.68,2020
Gary Harris,12.7,0.3,0.9,2.4,2.9,23.29,2020
Joe Harris,12.2,0.2,0.5,2.3,3.4,22.01,2020
Tobias Harris,18.2,0.5,0.7,2.7,7.1,34.4,2020
Andrew Harrison,4.4,0.2,0.3,1.5,1.7,10.2,2020
Shaquille Harrison,7.0,0.3,1.0,2.0,3.0,17.55,2020
Josh Hart,8.5,0.5,0.9,1.6,3.9,19.72,2020
Isaiah Hartenstein,4.3,0.5,0.4,0.9,2.7,11.51,2020
Udonis Haslem,2.6,0.1,0.1,0.4,2.1,6.55,2020
Gordon Hayward,10.4,0.3,0.8,3.1,3.9,23.1,2020
John Henson,5.2,0.7,0.4,0.9,4.6,15.37,2020
Juan Hernangomez,6.5,0.4,0.4,0.9,3.9,14.94,2020
Willy Hernangomez,7.3,0.4,0.4,1.0,5.0,16.99,2020
Mario Hezonja,9.4,0.2,0.9,1.7,4.0,19.84,2020
Isaiah Hicks,4.7,0.8,0.3,0.8,2.9,12.9,2020
Buddy Hield,18.6,0.4,0.7,2.5,4.7,31.29,2020
Haywood Highsmith,3.8,0.1,0.3,0.8,1.8,8.69,2020
Nene Hilario,3.2,0.3,0.3,0.7,2.4,9.11,2020
George Hill,6.7,0.1,0.7,2.1,2.2,14.91,2020
Solomon Hill,4.6,0.2,0.5,1.3,2.8,11.98,2020
Aaron Holiday,7.1,0.3,0.5,1.9,1.9,14.7,2020
Jrue Holiday,20.1,0.6,1.5,7.0,5.1,42.98,2020
Justin Holiday,9.4,0.3,1.1,1.8,3.5,20.67,2020
John Holland,1.4,0.1,0.1,0.4,0.7,3.49,2020
Rondae Hollis-Jefferson,9.0,0.5,0.7,1.6,5.0,20.8,2020
Richaun Holmes,7.9,0.9,0.5,0.9,4.7,19.33,2020
Rodney Hood,10.6,0.2,0.7,1.9,2.3,19.01,2020
Al Horford,11.9,0.9,0.8,3.5,5.9,29.49,2020
Danuel House,9.1,0.3,0.5,1.1,3.5,17.43,2020
Dwight Howard,10.1,0.4,0.7,0.6,7.5,23.24,2020
Kevin Huerter,11.2,0.3,0.9,3.1,3.5,23.79,2020
Isaac Humphries,4.9,0.2,0.3,0.4,2.9,10.42,2020
R.J. Hunter,15.9,0.1,0.9,3.1,2.9,27.03,2020
Chandler Hutchison,6.3,0.2,0.5,1.0,4.2,15.03,2020
Serge Ibaka,12.8,1.2,0.4,1.3,7.2,28.15,2020
Andre Iguodala,4.9,0.5,0.7,2.5,3.1,16.16,2020
Ersan Ilyasova,5.8,0.3,0.4,0.8,3.8,13.67,2020
Joe Ingles,10.7,0.2,1.0,5.0,3.4,26.02,2020
Andre Ingram,1.2,0.1,0.3,0.4,0.9,3.77,2020
Brandon Ingram,18.2,0.6,0.6,2.9,5.1,32.32,2020
Kyrie Irving,22.8,0.5,1.4,6.7,5.0,44.36,2020
Jonathan Isaac,10.4,1.2,0.7,1.3,5.8,25.07,2020
